brand_id,name,avg_rating
331,GINGER BY LIFESTYLE WOMEN BEIGE PRINTED SWEATSHIRT,4.101225866
147,BOSTREET WOMEN MAROON FLARED SKIRTS,4.101225866
698,POWERSUTRA WOMEN BLUE SOLID SINGLE BREASTED FORMAL BLAZERS,4.101225866
750,THE ROADSTER LIFESTYLE CO WOMEN BLACK SOLID SWEATSHIRT,4.248415716
962,VISHUDH WOMEN NAVY BLUE FLORAL PRINTED REGULAR PURE COTTON KURTA WITH PALAZZOS,4.032884903
750,ROADSTER WOMEN BLUE WASHED REGULAR FIT DENIM SHORTS,4.40990991
783,SASSAFRAS WOMEN BLACK SLIM FIT HIGH-RISE CLEAN LOOK STRETCHABLE JEANS,3.948499444
962,VISHUDH WOMEN RED SOLID DUPATTA,4.254032258
75,ANOUK WOMEN OFF WHITE CROPPED CIGARETTE TROUSERS WITH LACE DETAIL,4.385487528
531,M&H JUNIORS GIRLS BLUE STRAIGHT KNEE LENGTH DENIM SKIRTS,4
363,HERE&NOW NAVY BLUE & WHITE ETHNIC MOTIFS PRINTED PURE COTTON A-LINE KURTI,4.293814433
239,DRESSBERRY WOMEN PINK SHEER LONGLINE SHRUG WITH BELT,3.818181818
125,BERRYLUSH WOMEN PRETTY PINK PRINTED ROMANTIC FLORALS PLAYSUIT,4.164556962
444,KALINI CORAL & GOLDEN WOVEN DESIGN SAREE,4.164383562
353,H&M WOMEN BROWN MESH TOP,4.662068966
776,SANGRIA WOMEN GREEN COTTON LINEN SOLID TOP & CROPPED TROUSERS SET,3.62962963
705,PSPEACHES GIRLS PINK & ORANGE READY TO WEAR LEHENGA & BLOUSE WITH DUPATTA,4.101225866
544,MANGO WOMEN GREEN SOLID DOUBLE-BREASTED BLAZER,4.101225866
596,MONTREZ WOMEN OLIVE GREEN CROP DENIM JACKET,4.454545455
488,KVSFAB PINK & WHITE UNSTITCHED DRESS MATERIAL,4.101225866
750,ROADSTER WOMEN BLUE SKINNY FIT MID-RISE CLEAN LOOK STRETCHABLE CROPPED JEANS,4.144863267
903,TOKYO TALKIES WOMEN BLACK PRINTED A-LINE TOP,4.163624921
903,TOKYO TALKIES WOMEN PINK & WHITE PRINTED HOODED SWEATSHIRT,4.451145959
903,TOKYO TALKIES WOMEN BEIGE SOLID BASIC JUMPSUIT,4.328877005
75,ANOUK NAVY BLUE ETHNIC MOTIFS BELL SLEEVED PURE COTTON TOP,4.231191653
376,HRX BY HRITHIK ROSHAN WOMEN OLIVE GREEN SOLID SPORTY JACKET,3.671974522
50,ALL ABOUT YOU WOMEN PINK SOLID CROPPED REGULAR TROUSERS WITH WAIST TIE-UP DETAIL,3.977777778
75,ANOUK WOMEN PEACH-COLOURED YOKE DESIGN MIRROR-WORK KURTA WITH TROUSERS & WITH DUPATTA,4.207964602
133,BIBA TAUPE & PINK PRINTED DUPATTA WITH GOTTA PATTI,4.875
776,SANGRIA WOMEN MUSTARD YELLOW & MAGENTA PRINTED WRAP TOP WITH PALAZZOS,4.666666667
783,SASSAFRAS WOMEN PINK SOLID MIDI SKIRT,4.185185185
928,UNITED LIBERTY GREEN & GOLD-TONED PURE CHIFFON SAREE,4.338709677
353,H&M WOMEN BROWN SINGLE-BREASTED JACKET,4.101225866
133,BIBA YELLOW & GOLD-TONED PRINTED UNSTITCHED DRESS MATERIAL,4.101225866
812,SHOPGARB GOLD-TONED & GREEN SEMI-STITCHED LEHENGA & UNSTITCHED BLOUSE WITH DUPATTA,4.101225866
660,OXOLLOXO WOMEN NAVY BLUE PRINTED KNEE-LENGTH ELASTICATED  SKIRTS,4.101225866
983,WISSTLER WOMEN BEIGE & BLACK STRIPED PURE COTTON FRONT-OPEN SHRUG,4.101225866
783,SASSAFRAS NAVY SOLID LONGLINE OPEN FRONT SHRUG,4.501831502
239,DRESSBERRY WOMEN OLIVE GREEN REGULAR FIT SOLID REGULAR MID-RISE TROUSERS,4.104166667
793,SERA WOMEN OFF-WHITE & PINK PRINTED BASIC JUMPSUIT,3.991285403
962,VISHUDH WOMEN RUST FLORAL PRINTED A-LINE TOP,4.171206226
75,ANOUK WOMEN NAVY BLUE EMBELLISHED READY TO WEAR LEHENGA & BLOUSE WITH DUPATTA,4.181818182
868,TAAVI OFF WHITE & GREEN SANGANERI HAND BLOCK PRINT PURE COTTON SUSTAINABLE DUPATTA,4.727272727
779,SAREE MALL BLAZING RED LINEN BLEND SAREE,3.959601874
806,SHEWILL NAVY BLUE EMBROIDERED UNSTITCHED DRESS MATERIAL,4.37037037
554,MAST & HARBOUR WOMEN BLUE REGULAR FIT DOUBLE-BREASTED SELF DESIGN SMART CASUAL BLAZER,4.101225866
671,PARIS HAMILTON WOMEN BLACK BOYFRIEND FIT HIGH-RISE STRETCHABLE JEANS,4.077951002
72,ANI WOMEN PRETTY PINK PRINTED TOP WITH TROUSERS,4.086956522
353,H&M WOMEN GREEN TIE & DYE OVERSIZED SWEATSHIRT,4.325
793,SERA PINK & PURPLE TIE AND DYE PUFF SLEEVES CHIFFON TOP,4.234375
125,BERRYLUSH BLUE DITSY FLORAL PRINT HIGH-RISE A-LINE SKIRT,4.428571429
41,AKIMIA WOMEN BLACK PRINTED STRAIGHT MIDI SKIRTS,4.101225866
806,SHEWILL WOMEN MAROON ETHNIC MOTIFS YOKE DESIGN THREAD WORK KURTA WITH TROUSERS & WITH DUPATTA,4.101225866
903,TOKYO TALKIES WOMEN BLUE WASHED DENIM JACKET,4.101225866
66,ANAYNA BLACK & BEIGE PRINTED FLARED PURE COTTON MAXI SKIRT,4.331994645
760,RUTE WOMEN BLACK LACE SHEER OPEN FRONT LONGLINE SHRUG,3.959677419
131,BHAMA COUTURE WOMEN BLUE & PINK FLORAL PRINT A-LINE PURE COTTON TOP,4.268493151
783,SASSAFRAS WOMEN GREEN REGULAR FIT HIGH-RISE CLEAN LOOK STRETCHABLE JEANS,4.307320998
141,BLISSTA MUSTARD YELLOW & GOLD-TONED SILK BLEND UNSTITCHED DRESS MATERIAL,4.209302326
847,STYLESTONE WOMEN WHITE & BLUE PRINTED JUMPSUIT,4.3
554,MAST & HARBOUR WOMEN ORANGE COLOURBLOCKED HOODED SWEATSHIRT,4.235294118
945,VARANGA WOMEN YELLOW & PEACH-COLOURED FLORAL SCREEN PRINTED GOTTA PATTI STRAIGHT KURTA,4.057426836
75,ANOUK GREEN & MAGENTA WOVEN DESIGN PURE SILK BANARASI SAREE,4.154185022
931,URBANIC WOMEN BEIGE & WHITE SOLID OPEN-FRONT WITH TIE-UP CLOSURE CASUAL BLAZER,3.875
